"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"302","RT @NurFatiN_AJs: So sad <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7>
.
OST #KuKirimCinta
<ed><U+00A0><U+00BD><ed><U+00B1><U+00B1><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+00B1><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2640><U+FE0F> #Nisha @Ayda_Jebat #Farhan @iamredzarosli 
Akhirnya Cinta - Salma - JOOX https:…",FALSE,0,NA,2017-05-22 04:54:56,FALSE,NA,"866517712989597697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SithaShita",3,TRUE,FALSE,NA,NA
"303","<ed><U+00A0><U+00BD><ed><U+00B5><U+0090>pm-<ed><U+00A0><U+00BD><ed><U+00B5><U+0096>pm

Berapa jam lagi dari sekarang #KuKirimCinta
Episode 1

#Nisha #Zarul #Farhan
#KKC #tv3 https://t.co/PqAHawJr4I",FALSE,0,NA,2017-05-22 04:51:56,FALSE,NA,"866516957578665984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SithaShita",1,FALSE,FALSE,NA,NA
"304","Saaaare Shehar Ka Kehna Hai K Mera Yar Bewafa Hai.*

       #FaRhan . .

Par Is Kambakhat Dil Ka Kehna Hai Ke Saaaara Shehar Bewafa Hai.*",FALSE,0,NA,2017-05-22 04:22:44,FALSE,NA,"866509608923394048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daily_jcdnews",0,FALSE,FALSE,NA,NA
"305","Saaaare Shehar Ka Kehna Hai K Mera Yar Bewafa Hai.*

       #FaRhan . .

Par Is Kambakhat Dil Ka Kehna Hai Ke Saaaara Shehar Bewafa Hai.*",FALSE,0,NA,2017-05-22 03:55:11,FALSE,NA,"866502675097042944",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","Matlabi_log1",0,FALSE,FALSE,NA,NA
"306","Can't wait for #KuKirimCinta  <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #AydaJebat #RedzaRosli  #Farhan #Nisha",FALSE,3,NA,2017-05-22 03:17:33,FALSE,NA,"866493205713256448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZiezieyAlias",1,FALSE,FALSE,NA,NA
"307","#Farhan #Nisha #zarul
#KuKirimCinta
#KKC
#tv3 https://t.co/bYYbtkZtNc",FALSE,1,NA,2017-05-22 03:04:06,FALSE,NA,"866489821119655936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SithaShita",0,FALSE,FALSE,NA,NA
"308","RT @ShaqirWazizi: <U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0> Ku Kirim Cinta <U+2709> Bukan Sengaja Aku Berdusta. @Ayda_Jebat @iamredzarosli <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><U+2728>
#kukirimcinta #Nisha #Farhan https://t…",FALSE,0,NA,2017-05-22 02:39:01,FALSE,NA,"866483508008570880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akakmanja_sg",4,TRUE,FALSE,NA,NA
"309","RT @ShaqirWazizi: <U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0> Ku Kirim Cinta <U+2709> Bukan Sengaja Aku Berdusta. @Ayda_Jebat @iamredzarosli <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><U+2728>
#kukirimcinta #Nisha #Farhan https://t…",FALSE,0,NA,2017-05-22 02:13:23,FALSE,NA,"866477055420116992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eryna1979",4,TRUE,FALSE,NA,NA
"310","Nisha &amp; Farhan nak g mana tu?
Hati2 bw nisha ye farhan takut nanti jatuh pula <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#Nisha #Farhan
#KuKirimCinta
#KKC https://t.co/FvPZ2tVS0i",FALSE,0,NA,2017-05-22 00:59:43,FALSE,NA,"866458519133855745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SithaShita",0,FALSE,FALSE,NA,NA
"311","RT @norzyanalindan: @cik_min69 @Ayda_Jebat @tv3malaysia tak sabar tunggu esok #KuKirimCinta #Nisha #farhan",FALSE,0,NA,2017-05-21 22:02:45,FALSE,NA,"866413982424342530",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","puterimaimon",1,TRUE,FALSE,NA,NA
